鄉鎮市,年齡層,性別,人口數
總計,45-49歲,女,7873
總計,50-54歲,女,7913
總計,55-59歲,女,8037
總計,60-64歲,女,8159
總計,65-69歲,女,7347
總計,70-74歲,女,6527
總計,75-79歲,女,4245
總計,80-84歲,女,2816
總計,85-89歲,女,1906
總計,90歲以上,女,1077
